Total,Coal,Oil,Gas,Year
19501.263339,7024.128811,8951.775558,2758.101427,1980
19036.118109,7004.883319,8550.304967,2794.346721,1981
18884.487014,7126.512351,8345.175954,2731.273279,1982
19006.539624,7314.190173,8260.815187,2760.541893,1983
19664.753809,7668.797447,8328.840383,3010.425483,1984
20325.486795,8217.82351,8326.771194,3121.400874,1985
20627.358491,8335.814386,8576.33379,3045.544194,1986
21273.904184,8617.360981,8654.658723,3305.280002,1987
22107.794982,8910.819131,8972.672132,3466.022378,1988
22410.401527,8909.615731,9130.079809,3639.817109,1989
22757.480501,8688.659628,9249.362779,3833.133407,1990
23244.805747,8604.035333,9723.429325,3909.677268,1991
22580.023401,8399.00635,9226.138958,3958.119661,1992
22812.899822,8500.946752,9232.77287,4067.061088,1993
22969.498357,8548.628481,9265.657084,4102.083232,1994
23458.713064,8793.982796,9363.845279,4209.967591,1995
24159.382272,9015.793678,9643.208497,4395.991935,1996
24302.583028,8967.539839,9786.860718,4412.47776,1997
24213.260513,8725.98477,9883.466872,4484.475325,1998
24732.388369,8855.187209,10112.427162,4621.802576,1999
25453.622139,9203.117603,10302.090594,4731.291034,2000
25668.048326,9255.256797,10390.668975,4773.584851,2001
26281.037468,9678.959137,10385.86418,4905.85364,2002
27651.596453,10518.463642,10679.654448,5081.468111,2003
28636.695037,10871.584335,11042.504634,5257.190057,2004
29614.602256,11543.334878,11139.399176,5380.665522,2005
30593.116788,12188.840276,11246.32155,5506.809201,2006
31506.7892,12776.360246,11283.665343,5694.133805,2007
32085.836322,13192.796643,11251.325081,5864.291234,2008
31564.030692,13016.427997,10996.948677,5751.954007,2009
33364.346496,13926.620921,11359.882721,6195.343757,2010
34487.011618,14737.125795,11388.085507,6366.902202,2011
35006.267581,14922.759403,11541.707139,6500.593776,2012
35319.201624,15024.486027,11626.445964,6542.527061,2013
35577.534774,15051.51277,11678.782147,6654.555376,2014
35558.565735,14710.087469,11929.665762,6788.073864,2015
35524.193212,14360.605245,12023.83328,6973.648992,2016
36096.739276,14506.973805,12242.627935,7144.928128,2017
36826.5066,14746.830688,12266.016285,7529.846784,2018
37082.558969,14725.978025,12345.653374,7647.52822,2019
35264.085734,14174.56401,11191.808551,7556.290283,2020
37123.850352,14979.598083,11837.159116,7921.829472,2021
39190.010189946275,15917.314690985066,12418.04845843123,8342.045823623292,2022
41860.872662557056,17132.77079283218,13145.168028474549,8912.011030262414,2023
44940.43752570289,18539.940396422477,13924.265509395947,9598.496021643394,2024
48494.550264140235,20159.86331083297,14793.597817336515,10414.81490429544,2025
52489.11442037367,21976.38056033045,15737.79255420259,11355.997464815073,2026
56933.00850760573,23991.415473192643,16762.768236722433,12424.14508237029,2027
61820.173218838296,26201.698479769802,17866.127750454474,13618.515347155837,2028
67151.53115401077,28607.088061277937,19048.77251015504,14939.447425733477,2029
72925.89213616561,31206.830472877922,20310.325248612146,16386.834922749415,2030
79143.25429312789,34000.762682718894,21650.921164823376,17960.734911031257,2031
